"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prismari Apprentice,Small,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,205,,,Quandrix Apprentice,Small,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,,,,,,,,,
Prismari Pledgemage,Medium,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,205,,,Quandrix Pledgemage,Medium,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,,,,,,,,,
Prismari Pledgemage,Small,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,205,,,Quandrix Pledgemage,Small,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,,,,,,,,,
Prismari Prof. of Expression,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,206,,,Quandrix Prof. of Substance,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,,,,,,,,,
Prismari Prof. of Expression,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,206,,,Quandrix Prof. of Substance,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,,,,,,,,,
Prismari Prof. of Perfection,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,206,,,Quandrix Prof. of Theory,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,,,,,,,,,
Prismari Prof. of Perfection,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,206,,,Quandrix Prof. of Theory,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,,,,,,,,,
Prismatic Beetle Swarm,Medium,Beast,Swarm,Unaligned,3,,,,,,,,,,,,,,,ø,,,,,Tome of Beasts,375,,,Relic Sloth,Huge,Beast,,Unaligned,2,,,,,,,,,,,,,ø,ø,,,,,,Strixhaven: A Cirriculum of Chaos,210,,,,,,,,,,,
Proto-Shoggoth,Medium,Ooze,,Chaotic Evil,9,,,,,,,,x,x,,,,,,,x,x,x,,Sandy Petersen's Cthulhu Mythos,372,,,Ruin Grinder,Large,Construct,,Unaligned,5,,,,,,,,,,,,,ø,ø,,,,ø,,Strixhaven: A Cirriculum of Chaos,211,,,,,,,,,,,
Pseudodragon,Tiny,Dragon,,Neutral Good,1/4,,,,,,v,,,x,x,x,,x,x,,,,x,,Monster Manual,254,"Infernal Machine Rebuild 78, Player's Handbook 308, Rise of Tiamat Online Supplement 22",,Shadrix Silverquill,Gargantuan,Dragon,Bard,Neutral,22,,x,x,,x,,,,,,,,,,,,,,,Strixhaven: A Cirriculum of Chaos,212,,,,,,,,,,,
Psoglav,Large,Fiend,Demon,Chaotic Evil,7,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,79,,,Silverquill Apprentice,Medium,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,214,,,,,,,,,,,
Psychic Vampire,Medium,Undead,,Lawful Evil,13,,,x,x,,,,,,,,,,,,,,x,,Tome of Beasts 2,357,,,Silverquill Apprentice,Small,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,214,,,,,,,,,,,
Pterafolk,Large,Monstrosity,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,229,,,Silverquill Pledgemage,Medium,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,214,,,,,,,,,,,
Pteranodon,Medium,Beast,Dinosaur,Unaligned,1/4,,,,,,,,,x,,,x,,x,,,,,,Monster Manual,80,,,Silverquill Pledgemage,Small,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,214,,,,,,,,,,,
Pumpkin King,Huge,Plant,,Unaligned,13,,,x,,,,,,,,,,,,ø,ø,,,,Monster a Day Compendium 2.0,166,,,Silverquill Prof. of Radiance,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,215,,,,,,,,,,,
Pumpkin King,Huge,Fey,,Chaotic Neutral,10,,x,x,,x,,,,,,x,x,,,,,,,,Tome of Beasts 2,298,,,Silverquill Prof. of Radiance,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,215,,,,,,,,,,,
Purple Slime,Large,Ooze,,Unaligned,3,,,,,,,,,x,,,,,,x,,,,,Creature Codex,307,,,Silverquill Prof. of Shadow,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,215,,,,,,,,,,,
Purple Worm,Gargantuan,Monstrosity,,Unaligned,15,,,,,,,,,,x,,,,,,x,,,,Monster Manual,255,,,Silverquill Prof. of Shadow,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,215,,,,,,,,,,,
Purple Wormling,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Storm King's Thunder,242,,,Spirit Statue Mascot,Medium,Construct,,Any,1/4,,,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,216,,,,,,,,,,,
Pustulent Shambler,Gargantuan,Ooze,,Unaligned,13,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,299,,,Strixhaven Campus Guide,Small,Construct,,Lawful Good,1,,,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,217,,,,,,,,,,,
Pustuloid,Small,Fiend,Demon,Chaotic Evil,1,,,,,,,,,,,,,,,,ø,,,ø,Monster a Day Compendium 2.0,167,,,Tanazir Quandrix,Gargantuan,Dragon,Wizard,Lawful Neutral,24,,x,x,,x,,,,,,,,,,,,,,,Strixhaven: A Cirriculum of Chaos,218,,,,,,,,,,,
Putrescent Slime,Medium,Ooze,,Unaligned,1,,,,,,,,,,,,,,,,,,,,Tome of Beasts 2,300,,,Velomachus Lorehold,Gargantuan,Dragon,Wizard,Lawful Neutral,25,,x,x,,x,,,,,,,,,,,,,,,Strixhaven: A Cirriculum of Chaos,219,,,,,,,,,,,
Putrid Haunt,Medium,Undead,,Neutral Evil,2,,,,,,,,,,,,,,,ø,,,,,Tome of Beasts,315,,,Witherbloom Apprentice,Medium,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,221,,,,,,,,,,,
Pyrolisk,Small,Monstrosity,,Neutral Evil,1/2,,,,,,,,,,x,,x,,,,x,,,,Fifth Edition Foes,188,,,Witherbloom Apprentice,Small,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,221,,,,,,,,,,,
Qiqirin,Small,Monstrosity,,Neutral,2,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,301,,,Witherbloom Pledgemage,Medium,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,222,,,,,,,,,,,
Qithukye,Medium,Aberration,,Neutral,2,,,,,,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,168,,,Witherbloom Pledgemage,Small,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,222,,,,,,,,,,,
Quadricorn,Large,Monstrosity,,Neutral Evil,4,,,,,,,,,,,,x,x,,,,,,,Fifth Edition Foes,189,,,Witherbloom Prof. of Decay,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,223,,,,,,,,,,,
Quadrone,Medium,Construct,Modron,Lawful Neutral,1,,,,,,,,,,,,,,,,,,,ø,Monster Manual,226,,,Witherbloom Prof. of Decay,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,223,,,,,,,,,,,
Quaggoth,Medium,Humanoid,Quaggoth,Chaotic Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,256,,,Witherbloom Prof. of Growth,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,223,,,,,,,,,,,
Quaggoth Spore Servant,Medium,Plant,,Unaligned,1,,,,,,,x,,,,,,,,,x,,,,Monster Manual,230,,,Witherbloom Prof. of Growth,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,223,,,,,,,,,,,
Quaggoth Thonot,Medium,Humanoid,Quaggoth,Chaotic Neutral,3,,x,,,,,,,,,,,,,,x,,,,Monster Manual,256,,,Goat-Knight Steed,Large,Celestial,,Unaligned,1/2,,,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting,135,,,,,,,,,,,
Quandrix Apprentice,Medium,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,Ashari Stoneguard,Medium,Humanoid,any race,Lawful Neutral,7,,x,,,,,,,,,,,ø,ø,,ø,,,,Tal'Dorei Campaign Setting Reborn,128,Tal'Dorei Campaign Setting 128,,,,,,,,,,
Quandrix Apprentice,Small,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,Ashari Waverider,Medium,Humanoid,any race,Neutral Good,4,,x,,,,,,,ø,,,,,,,,ø,,,Tal'Dorei Campaign Setting Reborn,129,Tal'Dorei Campaign Setting 129\,,,,,,,,,,
Quandrix Pledgemage,Medium,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,Ashari Skydancer,Medium,Humanoid,any race,Chaotic Neutral,5,,x,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting Reborn,129,Tal'Dorei Campaign Setting 129\,,,,,,,,,,
Quandrix Pledgemage,Small,Humanoid,Sorcerer,Any,4,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,208,,,Adranach,Huge,Construct,,Not Provided,12,,,,,,,,,,,,,,,,,,ø,ø,Tal'Dorei Campaign Setting Reborn,224,,,,,,,,,,,
Quandrix Prof. of Substance,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,Master Adranach,Gargantuan,Construct,,Not Provided,21,,,x,,,,,,,,,,,,,,,ø,ø,Tal'Dorei Campaign Setting Reborn,225,,,,,,,,,,,
Quandrix Prof. of Substance,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,Ashari Firetamer,Medium,Humanoid,any race,Neutral Good,7,,x,,,,,,,,,,,ø,ø,,,,,,Tal'Dorei Campaign Setting Reborn,226,Tal'Dorei Campaign Setting 128,,,,,,,,,,
Quandrix Prof. of Theory,Medium,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,Cinderslag Elemental,Large,Elemental,,Chaotic Evil,5,,,,,,,,,,,,,,ø,,,,,ø,Tal'Dorei Campaign Setting Reborn,231,Tal'Dorei Campaign Setting 130,,,,,,,,,,
Quandrix Prof. of Theory,Small,Humanoid,Sorcerer,Any,7,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,209,,,Clasp Cutthroat,Medium,Humanoid,any race,Any Non-Lawful,3,,,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,232,Tal'Dorei Campaign Setting 131,,,,,,,,,,
Quasit,Tiny,Fiend,"Shapechanger, Demon",Chaotic Evil,1,,,,,,v,,,,,,,,,,,,,ø,Monster Manual,63,Player's Handbook 309,,Clasp Enforcer,Medium,Humanoid,any race,Any Non-Lawful,5,,,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,233,Tal'Dorei Campaign Setting 131,,,,,,,,,,
Queen Asria,Medium,Humanoid,Half-elf,Unaligned,8,,,,,x,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,100,,,Cold Snap Spirit,Medium,Elemental,,Not Provided,5,,,,,,,,ø,,,ø,,,ø,,,,,,Tal'Dorei Campaign Setting Reborn,234,,,,,,,,,,,
Queen of Birds,Large,Fey,"Animal Lord, Shapechanger",Chaotic Neutral,14,,x,x,x,x,,,,,,,,,,,,,,,Creature Codex,30,,,Cyclops Stormcaller,Large,Giant,,Neutral Evil,10,,x,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting Reborn,235,Tal'Dorei Campaign Setting 132,,,,,,,,,,
Queen of Cats,Large,Fey,"Animal Lord, Shapechanger",Chaotic Good,15,,x,x,x,x,,,,,,,,,,,,,x,,Creature Codex,32,,,Demonfeed Spider,Large,Fiend,,Not Provided,8,,,,,,,,,,,,,,,,ø,,,,Tal'Dorei Campaign Setting Reborn,237,,,,,,,,,,,
Queen of Scorpions,Medium,Fey,Shapechanger,Lawful Evil,13,,x,x,,x,,,,,x,,,,,,,,,,Tome of Beasts 2,21,,,Demonfeed Spiderling,Medium,Fiend,,Not Provided,1,,,,,,,,,,,,,,,,ø,,,,Tal'Dorei Campaign Setting Reborn,237,,,,,,,,,,,
Queen of Serpents,Medium,Fey,"Animal Lord, Shapechanger",Lawful Neutral,12,,x,x,,x,,,,,,,,,x,,,,,,Creature Codex,34,,,Ember Roc,Gargantuan,Monstrosity,,Not Provided,14,,,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting Reborn,238,,,,,,,,,,,
Quetzalcoatlus,Huge,Beast,dinosaur,Unaligned,2,,,,,,,,,x,,,,x,x,,,,,,Mordenkainen Presents: Monsters of the Multiverse,96,"Volo's Guide to Monsters 140, Tomb of Annihilation 230",,Cobalt Golem,Huge,Construct,,Not Provided,18,,,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,240,,,,,,,,,,,
Quickling,Tiny,Fey,,Chaotic Evil,1,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,207,"Volo's Guide to Monsters 187, The Wild Beyond The Witchlight 239",,Forge Guardian,Gargantuan,Construct,,Not Provided,27,,,x,,,,,,,,,,,,,ø,,ø,,Tal'Dorei Campaign Setting Reborn,241,,,,,,,,,,,
Quickserpent,Large,Beast,,Unaligned,4,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,303,,,Mage Hunter Golem,Large,Construct,,Not Provided,15,,,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,242,,,,,,,,,,,
Quickstep,Small,Fey,,Neutral Evil,5,,,,,,,,,,,x,,,,,,,x,,Creature Codex,308,,,Platinum Golem,Large,Construct,,Not Provided,16,,,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,243,,,,,,,,,,,
Quickwood,Huge,Plant,,Neutral,8,,,,,,,,,,,x,,x,x,,,,,,Fifth Edition Foes,190,,,"Jourrael, the Caedogeist",Medium,Fiend,Drow,Not Provided,15,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,245,,,,,,,,,,,
Quiet Soul,Medium,Undead,,Neutral Evil,6,,,,,,,,x,,,,,,,,x,,,,Creature Codex,309,,,Kraghammer Goat-Knight,Medium,Humanoid,dwarf,Neutral Good,3,,x,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting Reborn,246,Tal'Dorei Campaign Setting 134,,,,,,,,,,
Quipper,Tiny,Beast,,Unaligned,0,,,,,,x,,,,,,,,,,,x,,,Monster Manual,335,,,Magma Landshark,Huge,Elemental,,Not Provided,14,,,,,,,,,,,,,,ø,,ø,,,ø,Tal'Dorei Campaign Setting Reborn,247,,,,,,,,,,,
Quoreq,Medium,Aberration,,Chaotic Evil,5,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,304,,,Young Magma Landshark,Large,Elemental,,Not Provided,9,,,,,,,,,,,,,,ø,,ø,,,ø,Tal'Dorei Campaign Setting Reborn,248,,,,,,,,,,,
Qwyllion,Medium,Aberration,Fey,Neutral Evil,8,,,,,,,,,,,ø,,,,ø,,,,,Tome of Beasts,316,,,Plainscow,Large,Beast,,Not Provided,2,,,,,,,,,,,,ø,ø,,,,,ø,,Tal'Dorei Campaign Setting Reborn,248,,,,,,,,,,,
Radiant Idol,Large,Celestial,,Lawful Evil,11,,x,,,,,,,,,ø,ø,ø,ø,,,,ø,,Eberron: Rising from the Last War,308,,,Ravager Stabby-Stabber,Small,Humanoid,any race,Chaotic Evil,2,,,,,,,,,,,,ø,,,,,,,,Tal'Dorei Campaign Setting Reborn,250,Tal'Dorei Campaign Setting 137,,,,,,,,,,
Radiant Spark Swarm,Medium,Elemental,Swarm,Neutral,3,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,305,,,Ravager Slaughter Lord,Large,Humanoid,any race,Lawful Evil,9,,x,,,,,,,,,,ø,,,,,,,,Tal'Dorei Campaign Setting Reborn,250,Tal'Dorei Campaign Setting 137,,,,,,,,,,
Rageipede,Small,Beast,,Unaligned,2,,,,,,,,,,,x,,,,,,,,,Creature Codex,310,,,Remnant Chosen,Medium,Humanoid,any race,Neutral Evil,12,,x,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,251,Tal'Dorei Campaign Setting 139,,,,,,,,,,
Rahadin,Medium,Humanoid,Elf,Lawful Neutral,10,,x,,,x,,,,,,,,,,,,,ø,,Curse of Strahd,237,,,Remnant Cultist,Medium,Humanoid,any race,Neutral Evil,7,,x,,,,,,,,,,,,,,,,ø,,Tal'Dorei Campaign Setting Reborn,252,Tal'Dorei Campaign Setting 139,,,,,,,,,,
Raider's Worg,Large,Beast,,Unaligned,2,,,,,,,,ø,,,ø,ø,ø,ø,ø,ø,,,,Monster a Day Compendium 2.0,155,,,Rivermaw Stormborn,Medium,Humanoid,any race,Not Provided,4,,x,,,,,,,,,,ø,ø,ø,,,,,,Tal'Dorei Campaign Setting Reborn,254,Tal'Dorei Campaign Setting 133,,,,,,,,,,
Rak Tulkhesh,Huge,Fiend,,Neutral Evil,28,,x,x,,x,,,,,,,,,,,,,,ø,Eberron: Rising from the Last War,303,,,Rivermaw Brawler,Medium,Humanoid,any race,Not Provided,3,,,,,,,,,,,,ø,ø,ø,,,,,,Tal'Dorei Campaign Setting Reborn,254,Tal'Dorei Campaign Setting 134,,,,,,,,,,
Rakdos,Huge,Fiend,Demon,Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,ø,,,ø,Guildmaster's Guide to Ravnica,247,,,Centaur Skeleton,Large,Undead,,Not Provided,2,,,,,,,,,ø,,ø,,,ø,,,,,,Tal'Dorei Campaign Setting Reborn,256,,,,,,,,,,,
Rakdos Lampooner,Medium,Humanoid,Any Race,Chaotic Evil,2,,x,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,Flaming Skeleton,Medium,Undead,,Not Provided,1/2,,,,,,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,256,,,,,,,,,,,
Rakdos Performer,Medium,Humanoid,Any Race,Chaotic Evil,1,,,,,,,,,,,,,,,,ø,,ø,,Guildmaster's Guide to Ravnica,248,,,Vos'skyriss Serpentfolk,Large,Monstrosity,,Not Provided,3,,x,,,,,,,,ø,ø,,,,ø,,,,,Tal'Dorei Campaign Setting Reborn,258,,,,,,,,,,,
Rakshasa,Medium,Fiend,,Lawful Neutral,13,,x,,,,,,,,,,,,,,,,x,,Monster Manual,257,,,Vos'skyriss Serpentfolk Ghost,Large,Undead,,Not Provided,4,,,,,,,,,,ø,ø,,,,ø,,,,,Tal'Dorei Campaign Setting Reborn,258,,,,,,,,,,,
Ram Sugar,Medium,Humanoid,Dragonborn,Chaotic Neutral,2,,x,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,132,,,Wraithroot Tree,Huge,Plant,,Not Provided,14,,,,,,,,,,,ø,,,,,,,,,Tal'Dorei Campaign Setting Reborn,259,,,,,,,,,,,
Ramag,Medium,Humanoid,,Neutral,1/4,,,,,,,,,,ø,,,,,,,,ø,,Tome of Beasts,317,,,Grog Strongjaw,Medium,Humanoid,half-giant,Not Provided,18,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,261,,,,,,,,,,,
Ramag Portal Master,Medium,Humanoid,Ramag,Neutral,5,,x,,,,,,,,,,,,,,,,x,,Creature Codex,313,,,"Keyleth, Voice of the Tempest",Medium,Humanoid,half-elf,Not Provided,18,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,263,,,,,,,,,,,
"Rangda, Demon Lord of Witches",Large,Fiend,"Demon, Demon Lord",Chaotic Evil,17,,x,x,x,x,,,,,,,,,,,,,,x,Creature Codex,78,,,Percival de Rolo,Medium,Humanoid,human,Not Provided,18,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,266,,,,,,,,,,,
Ras Nsi,Medium,Monstrosity,"Shapechanger, Yuan-Ti",Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,Tomb of Annihilation,230,,,Trinket,Large,Beast,brown bear,Not Provided,5,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,266,,,,,,,,,,,
Rat,Tiny,Beast,,Unaligned,0,,,,,,x,,,,,,,,,x,,,x,,Monster Manual,335,Player's Handbook 309,,Vex'ahlia,Medium,Humanoid,half-elf,Not Provided,18,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,267,,,,,,,,,,,
Rat Hermit,Medium,Humanoid,,Any Non-Good,3,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,169,,,Pike Trickfoot,Small,Humanoid,gnome,Not Provided,17,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,269,,,,,,,,,,,
Rat King,Medium,Monstrosity,,Chaotic Evil,5,,,,,,,,,,,,,,,,,,ø,,Tome of Beasts,318,,,Scanlan Shorthalt,Small,Humanoid,gnome,Not Provided,15,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,271,,,,,,,,,,,
Ratatosk,Tiny,Celestial,,Chaotic Neutral,4,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,319,,,Doty X,Medium,Construct,,Not Provided,6,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,272,,,,,,,,,,,
Ratatosk Warlord,Small,Celestial,,Chaotic Neutral,5,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,314,,,Taryon Darrington,Medium,Humanoid,human,Not Provided,9,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,273,,,,,,,,,,,
Ratfolk,Small,Humanoid,,Neutral,1/4,,,,,,,,,,,ø,,,,,,,ø,,Tome of Beasts,320,,,Champion of Ravens,Medium,Celestial,,Not Provided,21,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,275,,,,,,,,,,,
Ratfolk Mercenary,Small,Humanoid,Ratfolk,Neutral,2,,,,,,,,,,,,,,,,x,,x,,Creature Codex,316,,,Animated Table,Large,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,ø,,Tales from the Yawning Portal,230,,,,,,,,,,,
Ratfolk Rogue,Small,Humanoid,,Neutral,1,,,,,,,,,,,,,,,,,,ø,,Tome of Beasts,320,,,Centaur Mummy,Large,Undead,,Lawful Neutral,6,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,231,,,,,,,,,,,
Ratfolk Warlock,Small,Humanoid,Ratfolk,Any,1,,x,,,,,,,,,,,,,,x,,x,,Creature Codex,316,,,Dread Warrior,Medium,Undead,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,233,,,,,,,,,,,
Rath Modar,Medium,Humanoid,Human,Lawful Neutral,6,,x,,,x,,,,,,,,,,,,,,,Hoard of the Dragon Queen,92,Rise of Tiamat 91,,Duergar Spy,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,234,,,,,,,,,,,
Rathar,Large,Monstrosity,,Unaligned,8,,,,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,170,,,Envoker,Medium,Humanoid,,Any,9,,x,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,235,,,,,,,,,,,
Rattok,Small,Fiend,Demon,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,90,,,Giant Crayfish,Large,Beast,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,235,,,,,,,,,,,
Ravager Slaughter Lord,Large,Humanoid,any race,Lawful Evil,9,,x,,,,,,,,,,ø,,,,,,,,Tal'Dorei Campaign Setting Reborn,250,Tal'Dorei Campaign Setting 137,,Giant Ice Toad,Large,Monstrosity,,Neutral,3,,,,,,,,ø,,,,,,,,,,,,Tales from the Yawning Portal,235,,,,,,,,,,,
Ravager Stabby-Stabber,Small,Humanoid,any race,Chaotic Evil,2,,,,,,,,,,,,ø,,,,,,,,Tal'Dorei Campaign Setting Reborn,250,Tal'Dorei Campaign Setting 137,,Giant Lightning Eel,Large,Beast,,Unaligned,3,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,236,,,,,,,,,,,
Raven,Tiny,Beast,,Unaligned,0,,,,,,x,,,,,,,,,x,,,x,,Monster Manual,335,Player's Handbook 309,,Giant Skeleton,Huge,Undead,,Neutral Evil,7,,,,,,,,,,,,,,,ø,ø,,ø,,Tales from the Yawning Portal,236,Infernal Machine Rebuild 65,,,,,,,,,,
Ravenala,Large,Plant,,Unaligned,5,,x,,,,,,,ø,,,,,,ø,,,,,Tome of Beasts,321,,,Giant Subterranean Lizard,Huge,Beast,,Unaligned,4,,,,,,,,,,,,,,,,ø,,,,Tales from the Yawning Portal,236,,,,,,,,,,,
Ravenfolk Doom Croaker,Medium,Humanoid,Kenku,Neutral,5,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,324,,,Greater Zombie,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,,,,ø,ø,,,,Tales from the Yawning Portal,237,Infernal Machine Rebuild 66,,,,,,,,,,
